LECROYWR640Zi,0,Waveform
Segments,1,SegmentSize,12502
Segment,TrigTime,TimeSinceSegment1
#1,17-Jan-2018 19:34:01,0                 
Time,Ampl
0.0001531671,0.43762
0.0001532071,0.769713
0.0001532471,0.43762
0.0001532871,0.769713
0.0001533271,0.769713
0.0001533671,1.10181
0.0001534071,0.43762
0.0001534471,1.10181
0.0001534871,0.43762
0.0001535271,1.10181
0.0001535671,0.769713
0.0001536071,1.4339
0.0001536471,0.769713
0.0001536871,0.43762
0.0001537271,0.769713
0.0001537671,0.769713
0.0001538071,0.769713
0.0001538471,0.43762
0.0001538871,0.105526
0.0001539271,1.10181
0.0001539671,0.769713
0.0001540071,1.10181
0.0001540471,0.43762
0.0001540871,1.10181
0.0001541271,0.105526
0.0001541671,0.43762
0.0001542071,0.43762
0.0001542471,1.10181
0.0001542871,0.105526
0.0001543271,0.769713
0.0001543671,0.769713
0.0001544071,1.10181
0.0001544471,-0.226567
0.0001544871,0.769713
0.0001545271,0.43762
0.0001545671,0.769713
0.0001546071,0.43762
0.0001546471,1.10181
0.0001546871,0.43762
0.0001547271,0.43762
0.0001547671,0.43762
0.0001548071,0.769713
0.0001548471,0.105526
0.0001548871,1.10181
0.0001549271,0.769713
0.0001549671,0.769713
0.0001550071,0.43762
0.0001550471,0.769713
0.0001550871,0.43762
0.0001551271,0.43762
0.0001551671,0.43762
0.0001552071,0.769713
0.0001552471,0.43762
0.0001552871,0.43762
0.0001553271,0.43762
0.0001553671,0.43762
0.0001554071,-0.226567
0.0001554471,0.43762
0.0001554871,0.43762
0.0001555271,0.769713
0.0001555671,0.43762
0.0001556071,0.43762
0.0001556471,0.43762
0.0001556871,0.43762
0.0001557271,0.105526
0.0001557671,0.43762
0.0001558071,0.105526
0.0001558471,0.43762
0.0001558871,-0.226567
0.0001559271,0.43762
0.0001559671,-0.558661
0.0001560071,0.43762
0.0001560471,-0.226567
0.0001560871,0.769713
0.0001561271,0.105526
0.0001561671,0.769713
0.0001562071,-0.226567
0.0001562471,0.43762
0.0001562871,-0.226567
